Almanca;Adana;Kozan;Kozan Bucak Çok Programlı Anadolu Lisesi;1;81;80,98623;1
Almanca;Adana;Kozan;Kozan Fen Lisesi;1;85;84,57578;1
Almanca;Adana;Sarıçam;Bahtiyar Vahabzade Sosyal Bilimler Lisesi;1;87;86,50747;1
Almanca;Adana;Sarıçam;Beyceli Anadolu Lisesi;1;86;85,96815;1
Almanca;Adana;Sarıçam;Cemil Meriç Anadolu Lisesi;1;84;83,99470;1
Almanca;Adana;Sarıçam;Evliya Çelebi Mesleki ve Teknik Anadolu Lisesi;1;86;86,31615;1
Almanca;Adana;Sarıçam;Şehit Ercan Günay Anadolu Lisesi;1;85;85,03764;1
Almanca;Adana;Seyhan;Adana Fen Lisesi;1;90;90,35961;1
Almanca;Adana;Seyhan;Adasokağı Anadolu Lisesi;1;86;86,04350;1
Almanca;Adana;Seyhan;Borsa İstanbul 24 Kasım Anadolu Lisesi;1;89;88,69538;1
Almanca;Adana;Seyhan;Cafer Recai Gizer Anadolu Lisesi;1;88;88,46529;1
Almanca;Adana;Seyhan;Gazi Anadolu Lisesi;1;88;88,20734;1
Almanca;Adana;Seyhan;Güler Namlı Anadolu Lisesi;1;85;84,92974;1
Almanca;Adana;Seyhan;Şehit Fatih Yeniay Anadolu Lisesi;1;84;83,94456;1
Almanca;Adana;Yumurtalık;Yumurtalık Çok Programlı Anadolu Lisesi;1;83;82,74635;1
Almanca;Adana;Yüreğir;Farabi Anadolu Lisesi;1;86;85,55747;1
Almanca;Adana;Yüreğir;Karşıyaka Atatürk Anadolu Lisesi;1;84;84,18060;1
Almanca;Adana;Yüreğir;Kazım Karabekir Anadolu Lisesi;1;85;85,48216;1
Almanca;Adana;Yüreğir;Melikşah Anadolu Lisesi;1;85;85,32848;1
Almanca;Adana;Yüreğir;Sunar Nuri Çomu Anadolu Lisesi;1;82;81,99625;1
Almanca;Adana;Yüreğir;Şehit Abdullah Aydın Emer Anadolu Lisesi;1;86;86,01541;1
Almanca;Adana;Yüreğir;Şehit Abdullah Yıldırım Anadolu Lisesi;1;82;82,21303;1
Almanca;Adana;Yüreğir;Şehit Ayhan Güngör Anadolu Lisesi;1;82;81,94192;1
Almanca;Adana;Yüreğir;Şehit Kadir Kırbaç Kız Anadolu Lisesi;1;84;83,85855;1
Almanca;Adıyaman;Besni;Aysel Erdemoğlu Anadolu Lisesi;1;78;77,66945;1
Almanca;Adıyaman;Besni;Besni Köseceli Çok Programlı Anadolu Lisesi;1;77;77,39042;1
Almanca;Adıyaman;Besni;Merinos Ali Erdemoğlu Fen Lisesi;1;77;77,43874;1
Almanca;Adıyaman;Besni;Şambayat Çok Programlı Anadolu Lisesi;1;76;75,69962;1
Almanca;Adıyaman;Gölbaşı;Gölbaşı Anadolu Lisesi;1;76;75,51380;1
Almanca;Adıyaman;Gölbaşı;Gölbaşı Belören Çok Programlı Anadolu Lisesi;1;76;76,15466;1
Almanca;Adıyaman;Kahta;Akıncılar Çok Programlı Anadolu Lisesi;1;78;77,90779;1
Almanca;Adıyaman;Kahta;Borsa İstanbul Anadolu Lisesi;1;78;78,49211;1
Almanca;Adıyaman;Kahta;Kahta Anadolu Lisesi;1;78;78,28244;1
Almanca;Adıyaman;Kahta;Kahta Borsa İstanbul Fen Lisesi;1;80;79,73327;1
Almanca;Adıyaman;Kahta;Mustafa Yardımcı Anadolu Lisesi;1;78;78,24631;1
Almanca;Adıyaman;Kahta;Şehit Yunus Uğur Anadolu Lisesi;1;78;78,42272;1
Almanca;Adıyaman;Merkez;Adıyaman Fen Lisesi;1;79;79,33000;1
Almanca;Adıyaman;Merkez;Adıyaman Lisesi;1;77;76,59079;1
Almanca;Adıyaman;Merkez;Adıyaman Perre Mesleki ve Teknik Anadolu Lisesi;1;76;76,21852;1
Almanca;Adıyaman;Merkez;Altınşehir Anadolu Lisesi;1;77;76,57645;1
Almanca;Adıyaman;Merkez;Atakent Çok Programlı Anadolu Lisesi;1;83;83,00386;1
Almanca;Adıyaman;Merkez;Borsa İstanbul Anadolu Lisesi;1;78;78,33958;1
Almanca;Adıyaman;Merkez;Kömür Anadolu Lisesi;1;80;80,45495;1
Almanca;Adıyaman;Merkez;Necip Fazıl Kısakürek Anadolu Lisesi;1;76;76,29340;2
Almanca;Adıyaman;Merkez;Şehit Hasan Aydoğdu Anadolu Lisesi;1;76;76,26148;1
Almanca;Adıyaman;Sincik;Sincik Çok Programlı Anadolu Lisesi;1;76;76,11475;1
Almanca;Diyarbakır;Bağlar;1071 Malazgirt Anadolu Lisesi;1;81;81,33848;1
Almanca;Diyarbakır;Bağlar;Bağcılar Anadolu Lisesi;1;82;81,76189;1
Almanca;Diyarbakır;Bağlar;Bağlar Anadolu Lisesi;1;82;81,62183;1
Almanca;Diyarbakır;Bağlar;Fatih Anadolu Lisesi;1;81;81,44249;1
Almanca;Diyarbakır;Bağlar;Güler Şevki Özbek Anadolu Lisesi;1;84;83,61308;1
Almanca;Diyarbakır;Bağlar;Kırklar Dağı Anadolu Lisesi;1;80;80,35730;1
Almanca;Diyarbakır;Bağlar;Namık Kemal Anadolu Lisesi;1;80;80,06776;1
Almanca;Diyarbakır;Bağlar;Necip Fazıl Kısakürek Anadolu Lisesi;1;83;82,82754;1
Almanca;Diyarbakır;Bağlar;Nene Hatun Anadolu Lisesi;1;81;80,81905;1
Almanca;Diyarbakır;Bağlar;Şehit Hatip Çağlar Anadolu Lisesi;1;80;80,17524;1
Almanca;Diyarbakır;Bağlar;Yeniköy Anadolu Lisesi;1;86;85,97641;1
Almanca;Diyarbakır;Bismil;15 Temmuz Şehitler Anadolu Lisesi;1;79;79,17308;1
Almanca;Diyarbakır;Bismil;Aziz Sancar Anadolu Lisesi;1;79;79,45033;1
Almanca;Diyarbakır;Bismil;Bismil Anadolu Lisesi;1;83;83,15161;1
Almanca;Diyarbakır;Bismil;Bismil Fatih Anadolu Lisesi;1;80;79,59862;1
Almanca;Diyarbakır;Bismil;Bismil Fen Lisesi;1;89;88,75681;1
Almanca;Diyarbakır;Çermik;Çermik Fen Lisesi;1;81;80,71072;1
Almanca;Diyarbakır;Çermik;Hakan Bahçeci Anadolu Lisesi;1;79;79,19720;1
Almanca;Diyarbakır;Çınar;Çınar Anadolu Lisesi;1;80;79,74971;1
Almanca;Diyarbakır;Eğil;Alpaslan Anadolu Lisesi;1;79;78,93861;1
Almanca;Diyarbakır;Ergani;Ergani Fen Lisesi;1;84;84,15217;1
Almanca;Diyarbakır;Ergani;Ergani Sultan Abdülhamid Han Anadolu Lisesi;1;82;81,63399;1
Almanca;Diyarbakır;Ergani;Makam Dağı Anadolu Lisesi;1;80;80,25901;1
Almanca;Diyarbakır;Ergani;Sermet Yalçın Anadolu Lisesi;1;83;83,00691;1
Almanca;Diyarbakır;Kayapınar;Fatih Sultan Mehmet Anadolu Lisesi;1;85;85,06224;2
Almanca;Diyarbakır;Kayapınar;Kayapınar Fen Lisesi;1;87;87,39019;1
Almanca;Diyarbakır;Kayapınar;Şehit Abdulvahap Çokur Anadolu Lisesi;1;84;84,48300;1
Almanca;Diyarbakır;Kayapınar;Talaytepe Anadolu Lisesi;1;83;83,36271;2
Almanca;Diyarbakır;Kocaköy;Kocaköy Çok Programlı Anadolu Lisesi;1;79;78,84600;1
Almanca;Diyarbakır;Kulp;Kulp Anadolu Lisesi;1;78;77,72006;3
Almanca;Diyarbakır;Silvan;1. Kılıçarslan Fen Lisesi;1;83;82,69052;1
Almanca;Diyarbakır;Silvan;Borsa İstanbul H. Reşat Balyen Anadolu Lisesi;1;79;78,83591;1
Almanca;Diyarbakır;Sur;GAP Karaçalı Anadolu Lisesi;1;80;79,67296;2
Almanca;Diyarbakır;Sur;Vali Aydın Arslan Fen Lisesi;1;95;94,98261;1
Almanca;Diyarbakır;Sur;Yiğit Çavuş Anadolu Lisesi;1;79;78,98876;2
Almanca;Diyarbakır;Yenişehir;85. Yıl Milli Egemenlik Anadolu Lisesi;1;84;83,65319;1
Almanca;Diyarbakır;Yenişehir;Nevzat Ayaz Anadolu Lisesi;1;84;83,86290;1
Almanca;Diyarbakır;Yenişehir;Orhan Asena Anadolu Lisesi;1;83;83,04026;2
Almanca;Diyarbakır;Yenişehir;Rekabet Kurumu Anadolu Lisesi;1;87;86,82314;1
Almanca;Diyarbakır;Yenişehir;Rekabet Kurumu Cumhuriyet Fen Lisesi;1;88;88,17156;2
Almanca;Diyarbakır;Yenişehir;Şehit Mehmet Mecit Yalçın Anadolu Lisesi;1;82;82,36256;2
Almanca;Diyarbakır;Yenişehir;Şehit Süleyman Sorkut Anadolu Lisesi;1;86;86,05966;2
Almanca;Diyarbakır;Yenişehir;Üçkuyu Mesleki ve Teknik Anadolu Lisesi;1;82;81,83093;1
Almanca;Hatay;Altınözü;Altınözü Anadolu Lisesi;1;78;78,11357;1
Almanca;Hatay;Antakya;Antakya Atatürk Anadolu Lisesi;1;76;76,41325;1
Almanca;Hatay;Antakya;Antakya Lisesi;1;76;75,96202;1
Almanca;Hatay;Antakya;Antakya Yüksel-Kemal Behzetoğlu Anadolu Lisesi;1;76;75,93251;2
Almanca;Hatay;Antakya;Bilge Kağan Anadolu Lisesi;1;76;75,56054;1
Almanca;Hatay;Antakya;Dr. Mustafa Gençay Anadolu Lisesi;1;80;79,95780;1
Almanca;Hatay;Antakya;Evliya Çelebi Anadolu Lisesi;1;76;76,15632;1
Almanca;Hatay;Antakya;Hacı Bektaş Veli Anadolu Lisesi;1;76;76,30745;1
Almanca;Hatay;Antakya;Hatay Saadet Yusuf Mıstıkoğlu Çok Programlı Anadolu Lisesi;1;76;76,03450;1
Almanca;Hatay;Antakya;Hüseyin Özbuğday Anadolu Lisesi;1;77;76,63420;1
Almanca;Hatay;Antakya;Narlıca Anadolu Lisesi;1;83;83,17345;1
Almanca;Hatay;Antakya;Serinyol Anadolu Lisesi;1;77;76,78058;1
Almanca;Hatay;Antakya;TOKİ Şehit Süleyman Yılmaz Anadolu Lisesi;1;76;76,09025;2
Almanca;Hatay;Antakya;Uluğ Bey Çok Programlı Anadolu Lisesi;1;77;77,35402;1
Almanca;Hatay;Arsuz;Aşık Veysel Anadolu Lisesi;1;82;81,57439;1
Almanca;Hatay;Defne;Defne Anadolu Lisesi;1;75;75,47695;2
Almanca;Hatay;Defne;İpek Yolu Çok Programlı Anadolu Lisesi;1;76;76,12957;1
Almanca;Hatay;Defne;Necmi Asfuroğlu Anadolu Lisesi;1;76;76,43984;1
Almanca;Hatay;Dörtyol;Dörtyol Anadolu Lisesi;1;80;79,53221;2
Almanca;Hatay;Dörtyol;Halil İbrahim Evren Anadolu Lisesi;1;83;82,61681;1
Almanca;Hatay;Dörtyol;Süleyman Demirel Anadolu Lisesi;1;84;83,73065;1
Almanca;Hatay;Erzin;Erzin Çok Programlı Anadolu Lisesi;1;80;79,70054;1
Almanca;Hatay;Erzin;Erzin Yeşilkent Anadolu Lisesi;1;80;80,25237;1
Almanca;Hatay;Hassa;Ardıçlı Anadolu Lisesi;1;77;77,10008;1
Almanca;Hatay;Hassa;Hassa Çardak Anadolu Lisesi;1;76;76,30259;1
Almanca;Hatay;İskenderun;İbn-i Sina Anadolu Lisesi;1;80;80,35555;1
Almanca;Hatay;İskenderun;İskenderun Demir Çelik Anadolu Lisesi;1;80;79,64826;2
Almanca;Hatay;İskenderun;Ulubatlı Hasan Anadolu Lisesi;1;79;78,96925;2
Almanca;Hatay;İskenderun;Yakup Bozatlı Anadolu Lisesi;1;81;80,61802;1
Almanca;Hatay;Kırıkhan;Kırıkhan Fevzi Çakmak Anadolu Lisesi;1;78;78,05596;2
Almanca;Hatay;Kırıkhan;Yörükler Anadolu Lisesi;1;77;77,20398;1
Almanca;Hatay;Kumlu;Abdurrahman Gülizar Karadeniz Çok Programlı Anadolu Lisesi;1;76;76,21107;2
Almanca;Hatay;Payas;Payas Anadolu Lisesi;1;79;78,72489;2
Almanca;Hatay;Payas;Payas Nursan Anadolu Lisesi;1;80;79,52560;1
Almanca;Hatay;Reyhanlı;Reyhanlı Anadolu Lisesi;1;78;78,00123;1
Almanca;Hatay;Samandağ;Karaçay Bedii Sabuncu Anadolu Lisesi;1;77;77,43748;1
Almanca;Hatay;Samandağ;Kuşalanı Anadolu Lisesi;1;76;75,67482;2
Almanca;Hatay;Samandağ;Tekebaşı Eczacı Maruf Cilli Anadolu Lisesi;1;76;76,20471;1
Almanca;Hatay;Yayladağı;Yayladağı Anadolu Lisesi;1;76;75,70495;2
Almanca;Kahramanmaraş;Afşin;Afşin Eshab-ı Kehf Anadolu Lisesi;1;79;79,00274;1
Almanca;Kahramanmaraş;Afşin;Afşin Şehit Hakan Akyar Anadolu Lisesi;1;77;76,82330;1
Almanca;Kahramanmaraş;Dulkadiroğlu;Abdülhamit Han Anadolu Lisesi;1;76;76,39024;1
Almanca;Kahramanmaraş;Dulkadiroğlu;Mehmet Gümüşer Anadolu Lisesi;1;77;77,16530;1
Almanca;Kahramanmaraş;Dulkadiroğlu;Nurettin Topçu Anadolu Lisesi;1;77;76,86555;1
Almanca;Kahramanmaraş;Dulkadiroğlu;TOKİ Duran Karabuğaş Anadolu Lisesi;1;77;76,59994;1
